<STATUS> at <TIME> (@100 ns),,a,b,cmd,reset,,flow(exp:act),fhigh(exp:act),cout(exp:act),equal(exp:act),ov(exp:act),sign(exp:act),cb(exp:act),ready(exp:act),can_busy(exp:act),can(exp:act)
SUCCESS at 200 ns,,00000000,00000000,----,1,,00000000:00000000,00000000:00000000,0:0,-:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 300 ns,,00000011,00000100,0000,0,,00000111:00000111,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 400 ns,,01000001,00000000,1100,0,,00000000:00000000,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 500 ns,,01000010,00000001,1100,0,,00000000:00000000,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 600 ns,,01000011,00000010,1100,0,,00000000:00000000,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 700 ns,,01000100,00000011,1100,0,,00000000:00000000,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 800 ns,,00000000,00000011,1101,0,,--------:00000000,--------:00000000,0:0,0:0,0:0,0:0,1:1,1:1,0:0,1:1
SUCCESS at 900 ns,,00000000,00000000,1111,0,,--------:01011100,--------:00110110,0:0,1:1,0:0,0:0,1:1,1:1,0:0,1:1
SUCCESS at 1000 ns,,00000000,00000000,1111,0,,--------:01001101,--------:01100101,0:0,1:1,0:0,0:0,1:1,1:1,0:0,1:1
SUCCESS at 1100 ns,,00000000,00000000,1111,0,,--------:10001101,--------:01011110,0:0,1:1,0:0,0:0,1:1,1:1,0:0,1:1
SUCCESS at 1200 ns,,00000000,00000000,1111,0,,11110001:11110001,00011011:00011011,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 1300 ns,,00001100,00001101,0000,0,,00011001:00011001,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 1400 ns,,00000000,00000011,1110,0,,--------:00000000,--------:00000000,0:0,0:0,0:0,0:0,0:0,1:1,0:0,1:1
SUCCESS at 1500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,1:1,1:1,1:1
SUCCESS at 1600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,1:1,1:1,1:1
SUCCESS at 1700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,1:1,1:1,1:1
SUCCESS at 1800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,1:1,1:1,1:1,1:1
SUCCESS at 1900 ns,,00000000,00000000,1111,0,,--------:01011100,--------:00110110,0:0,1:1,0:0,0:0,1:1,1:1,1:1,1:1
SUCCESS at 2000 ns,,00000000,00000000,1111,0,,--------:01001101,--------:01100101,0:0,1:1,0:0,0:0,1:1,1:1,1:1,1:1
SUCCESS at 2100 ns,,00000000,00000000,1111,0,,--------:10001101,--------:01011110,0:0,1:1,0:0,0:0,1:1,1:1,1:1,1:1
FAILURE at 2200 ns,,00000000,00000000,1111,0,,--------:11110001,--------:00011011,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:1
SUCCESS at 2300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
